序号,介绍,网址,楼层,户型,小区,面积,时间,总价,单价,县区
1.05103E+11,京基御景印象四期 4室2厅 338万,https://sz.lianjia.com/ershoufang/105102654612.html,中楼层(共33层),4室2厅,京基御景印象四期 ,89.06平米,2016年建板塔结合  -  ,338,37952,坪山
1.05103E+11,金地朗悦南北通四房，主卧朝南，旁边就是体育馆，,https://sz.lianjia.com/ershoufang/105102529077.html,低楼层(共33层),4室2厅,金地朗悦 ,127.34平米,2014年建塔楼  -  ,380,29842,坪山
1.05101E+11,力高君御国际 四房89平 满两年 毛坯 业主急卖,https://sz.lianjia.com/ershoufang/105101426053.html,中楼层(共35层),4室2厅,力高君御国际 ,88.78平米,2016年建板塔结合  -  ,350,39424,坪山
1.05101E+11,力高实用3房，户型朝南，通风采光优良。,https://sz.lianjia.com/ershoufang/105101478665.html,高楼层(共35层),3室2厅,力高君御国际 ,77.82平米,2016年建板塔结合  -  ,298,38294,坪山
1.05101E+11,精致四房，户型方正，阳光清风随时造访生活。,https://sz.lianjia.com/ershoufang/105101438942.html,低楼层(共32层),4室2厅,天峦湖 ,106.74平米,2015年建板塔结合  -  ,478,44782,坪山
1.05101E+11,两房朝南看花园，安静舒适，万科物业,https://sz.lianjia.com/ershoufang/105101439813.html,低楼层(共28层),2室2厅,万科金域缇香 ,74.65平米,2013年建板塔结合  -  ,280,37509,坪山
1.05101E+11,京基三期89平精装修四房诚心出售。,https://sz.lianjia.com/ershoufang/105101484923.html,中楼层(共31层),4室2厅,京基御景印象三期 ,89.54平米,板塔结合  -  ,380,42440,坪山
1.05101E+11,★★★坪山区  3房2卫 单价3万3,https://sz.lianjia.com/ershoufang/105101479369.html,低楼层(共23层),3室2厅,万科金域东郡 ,89.32平米,2009年建塔楼  -  ,300,33588,坪山
1.05102E+11,邻坪山公园，六馆一城，满两年。,https://sz.lianjia.com/ershoufang/105102025038.html,低楼层(共32层),3室2厅,坪山招商花园城北区 ,88.42平米,2015年建板塔结合  -  ,330,37322,坪山
1.05101E+11,京基御景印象二期 3室2厅 450万,https://sz.lianjia.com/ershoufang/105101443711.html,低楼层(共33层),3室2厅,京基御景印象二期 ,129.38平米,2015年建板塔结合  -  ,450,34782,坪山
1.05102E+11,坪山别墅小区，方正三房，满五年欠款少,https://sz.lianjia.com/ershoufang/105102172240.html,高楼层(共7层),3室2厅,中粮一品澜山花园 ,88.26平米,2013年建板塔结合  -  ,248,28099,坪山
1.05102E+11,深业御园住家精装3房 客厅正出阳台看花园 满2年物业,https://sz.lianjia.com/ershoufang/105101579390.html,中楼层(共32层),3室2厅,深业御园 ,75.64平米,2012年建板塔结合  -  ,230,30408,坪山
1.05101E+11,坪山首座，精装修1房，满两年税少，优质房源诚心出售,https://sz.lianjia.com/ershoufang/105101372404.html,中楼层(共16层),1室1厅,坪山首座 ,47.2平米,2015年建板塔结合  -  ,110,23306,坪山
1.05102E+11,业主诚心出售，深圳上车盘，实用型一房，总价低,https://sz.lianjia.com/ershoufang/105102403300.html,高楼层(共33层),1室0厅,深业御园 ,40.6平米,2012年建板塔结合  -  ,115,28326,坪山
1.05102E+11,坪山招商花园城北区 3室2厅 325万,https://sz.lianjia.com/ershoufang/105101597503.html,中楼层(共33层),3室2厅,坪山招商花园城北区 ,87.23平米,2015年建板塔结合  -  ,325,37258,坪山
1.05102E+11,坪山科技园南北通三房，总价低地段好，手快有手慢无,https://sz.lianjia.com/ershoufang/105101830630.html,中楼层(共32层),3室2厅,深业御园 ,77.7平米,2012年建板塔结合  -  ,187,24067,坪山
1.05103E+11,心海城 3室2厅 280万,https://sz.lianjia.com/ershoufang/105102712993.html,中楼层(共32层),3室2厅,心海城 ,80.93平米,板塔结合  -  ,280,34598,坪山
1.05101E+11,万科物业管理，户型方正，通风采光优良,https://sz.lianjia.com/ershoufang/105101402336.html,低楼层(共21层),4室1厅,万科金域东郡 ,89.14平米,2008年建塔楼  -  ,330,37021,坪山
1.05102E+11,精致三房户型，享受自然阳光新生活。,https://sz.lianjia.com/ershoufang/105102107193.html,低楼层(共33层),3室2厅,大东城二期 ,77.54平米,2014年建塔楼  -  ,330,42559,坪山
1.05102E+11,丹梓龙庭 2室1厅 185万,https://sz.lianjia.com/ershoufang/105101684782.html,中楼层(共28层),2室1厅,丹梓龙庭 ,70.18平米,2014年建板楼  -  ,185,26361,坪山
1.05102E+11,满五唯一，红本在手 税费少 刚需三房,https://sz.lianjia.com/ershoufang/105101847976.html,高楼层(共33层),3室1厅,深业御园 ,75.6平米,2012年建板楼  -  ,205,27117,坪山
1.05102E+11,大东城一期 复式大四房 近高铁交通便利 朝南采光佳！,https://sz.lianjia.com/ershoufang/105102274936.html,中楼层(共32层),4室2厅,大东城一期 ,88.55平米,2012年建塔楼  -  ,430,48561,坪山
1.05102E+11,大东城二期复式  朝南 采光通风好 高层 景观优美,https://sz.lianjia.com/ershoufang/105101714893.html,高楼层(共32层),6室2厅,大东城二期 ,85.31平米,2014年建塔楼  -  ,555,65057,坪山
1.05102E+11,精装3房2厅2卫，双阳台，户型方正，看房方便,https://sz.lianjia.com/ershoufang/105101799311.html,中楼层(共33层),3室2厅,中粮一品澜山花园 ,86.58平米,2013年建板塔结合  -  ,249,28760,坪山
1.05102E+11,深业开发商 毛坯三房 刚需户型 满屋唯一,https://sz.lianjia.com/ershoufang/105101691237.html,中楼层(共24层),3室2厅,深业东城国际 ,89平米,2012年建板楼  -  ,290,32585,坪山
1.05103E+11,坪山天虹楼上，红本在手，高实用性三房,https://sz.lianjia.com/ershoufang/105102504267.html,高楼层(共31层),3室2厅,深业东城国际 ,81.79平米,2013年建塔楼  -  ,285,34846,坪山
1.05101E+11,想要大三房看过来 沙湖站旁 京基大盘 南北通 入户花园,https://sz.lianjia.com/ershoufang/105101440268.html,低楼层(共33层),3室2厅,京基御景印象二期 ,129.61平米,2015年建板塔结合  -  ,470,36263,坪山
1.05101E+11,深业御园 总价255万，买89平的3加1户型。,https://sz.lianjia.com/ershoufang/105101207803.html,中楼层(共18层),4室1厅,深业御园 ,89.16平米,2012年建板楼  -  ,245,27479,坪山
1.05102E+11,全景天峦湖湖景高层西南向大四房,https://sz.lianjia.com/ershoufang/105101514753.html,中楼层(共32层),4室1厅,天峦湖 ,106.74平米,2015年建板塔结合  -  ,435,40754,坪山
1.05101E+11,万科物业管理，户型方正，通风采光好,https://sz.lianjia.com/ershoufang/105101490697.html,高楼层(共34层),2室2厅,万科金域缇香 ,73.98平米,2013年建板塔结合  -  ,298,40282,坪山
1.05102E+11,大东城大户型朝东南，近高铁交通便利,https://sz.lianjia.com/ershoufang/105102155211.html,中楼层(共31层),5室2厅,大东城一期 ,148.55平米,2012年建板楼  -  ,600,40391,坪山
1.05102E+11,大东城二期高层南北通大五房 满五唯一欠款少,https://sz.lianjia.com/ershoufang/105102204654.html,高楼层(共33层),5室2厅,大东城二期 ,125平米,2014年建板塔结合  -  ,470,37600,坪山
