介绍,网址,楼层,户型,小区,面积,时间,总价,单价,县区
京基御景印象二期 2室2厅 80.22平米,https://sz.lianjia.com/chengjiao/105102162807.html,中楼层(共29层),2室2厅,京基御景印象二期,80.22平米,2015年建板塔结合,249,31040,坪山
万科金域缇香 2室2厅 74.51平米,https://sz.lianjia.com/chengjiao/105102228949.html,中楼层(共34层),2室2厅,万科金域缇香,74.51平米,2013年建板塔结合,266,35700,坪山
深业东城国际 3室2厅 81.8平米,https://sz.lianjia.com/chengjiao/105102141682.html,中楼层(共31层),3室2厅,深业东城国际,81.8平米,2013年建塔楼,268,32763,坪山
京基御景印象四期 4室2厅 88.3平米,https://sz.lianjia.com/chengjiao/105102487303.html,低楼层(共33层),4室2厅,京基御景印象四期,88.3平米,2016年建板塔结合,301,34089,坪山
深业东城国际 3室2厅 89.76平米,https://sz.lianjia.com/chengjiao/105102577316.html,中楼层(共24层),3室2厅,深业东城国际,89.76平米,2012年建板楼,294,32732,坪山
盈富家园 1室1厅 38.5平米,https://sz.lianjia.com/chengjiao/105102189374.html,低楼层(共9层),1室1厅,盈富家园,38.5平米,2006年建板塔结合,85,21975,坪山
深业御园 4室2厅 88.29平米,https://sz.lianjia.com/chengjiao/105102107252.html,低楼层(共18层),4室2厅,深业御园,88.29平米,2012年建板楼,211,23899,坪山
深业东城国际 3室2厅 75.45平米,https://sz.lianjia.com/chengjiao/105102356897.html,低楼层(共33层),3室2厅,深业东城国际,75.45平米,2013年建塔楼,255,33798,坪山
坪山招商花园城北区 4室2厅 129.72平米,https://sz.lianjia.com/chengjiao/105101403650.html,高楼层(共33层),4室2厅,坪山招商花园城北区,129.72平米,2015年建板塔结合,505,38931,坪山
坪山招商花园城南区 3室2厅 88.89平米,https://sz.lianjia.com/chengjiao/105102236066.html,低楼层(共34层),3室2厅,坪山招商花园城南区,88.89平米,2015年建板塔结合,307,34538,坪山
深业东城国际 3室2厅 89平米,https://sz.lianjia.com/chengjiao/105101568334.html,高楼层(共24层),3室2厅,深业东城国际,89平米,2012年建板楼,313,35099,坪山
东方威尼斯花园 3室1厅 111.67平米,https://sz.lianjia.com/chengjiao/105102410044.html,高楼层(共11层),3室1厅,东方威尼斯花园,111.67平米,2003年建塔楼,330,29552,坪山
豪方菁园 2室2厅 47.21平米,https://sz.lianjia.com/chengjiao/105102239542.html,中楼层(共25层),2室2厅,豪方菁园,47.21平米,2012年建板塔结合,176,37281,坪山
六和城 3室2厅 85.93平米,https://sz.lianjia.com/chengjiao/105102170154.html,高楼层(共29层),3室2厅,六和城,85.93平米,2016年建塔楼,280,32585,坪山
豪方菁园 2室2厅 47.21平米,https://sz.lianjia.com/chengjiao/105102102497.html,低楼层(共25层),2室2厅,豪方菁园,47.21平米,2012年建板塔结合,175,37069,坪山
坪山招商花园城北区 2室2厅 76平米,https://sz.lianjia.com/chengjiao/105102401334.html,低楼层(共33层),2室2厅,坪山招商花园城北区,76平米,2015年建板塔结合,271,35658,坪山
